,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct
1747,"**Self-Starter & Entrepreneur**

* Successfully established and sold a coffee shop chain.
* Founded and currently managing an export-oriented 3D printing technologies-based production business.

**Professional Experience**

*Self-Employed Entrepreneur*

* Founded a coffee shop chain and grew it successfully before selling.
* Established a production business utilizing 3D printing technologies, handling export operations.

**Skills**

*Hard Skills*

* Goal-setting and prioritization
* Project planning and execution
* Organization and budget management
* Task delegation and monitoring
* Familiarity with SCRUM methodologies (Agile, Scrum, Kanban, Waterfall)
* Game design principles and experience with UE4 and Unity
* 3D modeling, UV mapping, and animation using Blender (Junior level)
* Linux node operation

*Soft Skills*

* Critical thinking and decision-making
* Time management
* Team management and leadership
* Communication and coaching
* Risk management
* Identifying customer and user needs, building consensus for project implementation
* Intermediate English proficiency (B1 level)"
1784,"Here is your new resume:

Resume

* Expert 3D artist, specializing in creating visually stunning and realistic 3D models and animations
* Skilled graphic designer, utilizing design skills to produce compelling visual assets
* Experienced videographer and video editor, with a keen eye for detail and technical proficiency in capturing and editing high-quality videos
* Proficient in digital marketing, including strategizing and executing effective marketing campaigns, and utilizing digital marketing tools and platforms to drive engagement, enhance brand awareness, and generate leads
* Successful event organizer, with experience in organizing a music art festival and contributing to the DokuBaku International Documentary Film Festival
* Proven experience working with start-ups, honing an entrepreneurial mindset, and adapting to fast-paced and dynamic environments
* Seeking new opportunities to expand knowledge, skills, and contributions in 3D art, graphic design, video production, digital marketing, event organization, and start-up engagement."
2476,"Client Success Manager

• Managed large US-based accounts, focusing on health and growth.
• Simultaneously handled 3-4 enterprise-level, high-priority accounts, demonstrating strong multitasking abilities.
• Oversaw 30-50 clients, exhibiting exceptional account management skills."
2515,"Fostered and maintained strong, enduring business relationships with clients
Resolved customer issues and proposed solutions
Orchestrated projects for clients' integration with online platforms and services
Collaborated with development team to ensure project success
Executed sales and retention strategies to propel business growth
Managed sales documentation including agreements, contracts, and invoices
Skilled in utilizing Zoho, Jira, Confluence, SAP, 1C, and other relevant tools

Career Goal:
To expand my skills and experience in project management."
2517,"Managing up to 15 projects concurrently, I effectively:

* Monitor work processes, ensuring efficiency and accuracy
* Control timing and terms, meeting deadlines and client expectations
* Communicate regularly with stakeholders, providing progress updates, identifying potential issues, and mitigating risks

Experience includes:

* Managing inbound requests and proactively contacting new leads via outbound efforts
* Presenting proposals and completing the sales cycle, from initial contact to closing the deal
* Preparing agreements with a focus on building long-term client relationships
* Upselling and cross-selling solutions by defining client needs and providing tailored recommendations."
2529,"Passionate professional with an analytical mind seeking challenging opportunities. Motto: Think, plan, achieve.

Work Experience:

1. Communication Specialist
- Coordinated with team members to ensure project goals were met
- Cultivated a respectful and honest work environment
- Adapted quickly to take on new responsibilities

2. Project Coordinator
- Managed projects from inception to completion
- Collaborated with team members to achieve project goals
- Fostered mutually respectful relationships with clients and team members

3. Team Leader
- Motivated team members to achieve their best
- Facilitated open and honest communication
- Planned and executed successful team projects

Belief:
The best results come from mutually respectful and honest relationships.

Cooperation:
Eager to collaborate and looking forward to a fruitful and pleasant partnership.

Thank you for considering my application."
2538,"Results-oriented professional with 2+ years of experience in Amazon and Asian partnerships. Proven track record in executing diverse projects, including:

* Successfully closed the eBay expansion project
* Improved supply chain efficiency, resulting in cost savings
* Negotiated with Asian suppliers to enhance product quality
* Managed re-import of goods to the US, eliminating repeat tax payments

Skilled in:

* Market research
* Supplier negotiation
* Cost-saving plan development and implementation
* Supply chain management

Experience:

* Consistently delivered results in market research, supplier negotiation, cost-saving plan implementation, and supply chain management
* Successfully completed multiple projects with strategic importance for the company
* Quickly learned new information to ensure project success

Accomplishments:

* Demonstrates critical thinking and calmness in stressful situations
* Seeking challenging roles, not monotonous tasks."
2551," **Resume**

**Summary:**
Experienced Project Manager Assistant and Legal Counsel with a solid understanding of the SDLC and expertise in Data Privacy, Intellectual Property, Commercial and Contract Law. Proven ability to manage contracts, RFPs/RFIs, and negotiations with suppliers. Strong understanding of corporate policy and legal risk management. Skilled in building relationships within teams and working with international companies/customers.

**Experience:**

* Project Manager Assistant, Vayosoft Team*
	+ Managed contracts, RFPs/RFIs, collaborated with procurement, participated in negotiations with suppliers, evaluated contractors, organized team meetings, follow-ups, action lists, prepared reports and presentations for upper-management, and contributed to the creation of new projects from scratch through MVP to the improvement of a working application.
* Legal Counsel, Benish Group*
	+ Managed relationships with colleagues regarding corporate policy, analyzed and minimized legal risks within the company, provided recommendations on their application, collaborated with internal and external teams to oversee activities reducing legal risks, communicated with customers, business partners, service providers from a variety of jurisdictions, prepared Rules for the provision of services (offers), Privacy Policies, Terms of Use for Applications under GDRR rules, participated in Product development, optimized business processes of the entire group of companies, implemented legal compliance in various areas of business operations (personal data protection, intellectual property, PR and marketing, sales, payments, consumer rights etc.), and organized and maintained contractual activities (legal expertise, drafting of contracts texts in accordance to local legislation and company internal standards and procedures etc.)."
2553,"Experienced Business Development and Project Manager

Proven track record in people and account management, customer support, and new employee integration. Skilled in interviewing, hiring, and onboarding new employees, as well as negotiation and conflict resolution with customers. Proficient in preparing documentation for outstaff deals, company presentations, and estimation documents.

Responsibilities:

* Managed a team of employees, conducting 1-1s, performance reviews, and overseeing the sprint process.
* Provided leadership, motivation, and maintained a friendly atmosphere for team members.
* Conducted interviews and hired for both technical and non-technical positions, facilitated new employees' integration into the company environment.
* Managed accounts for ongoing projects, including negotiation and conflict resolution with customers.
* Prepared company presentations, outstaff deal documentation, and communicated with partner companies.
* Provided customer support from the initial contact to closing.
* Sourced outstaff projects and prepared documentation for outstaff deals."
2554," **[Your Name]**

*B2B International Communication and Sales Specialist with 4 years of experience, Master's degree in Foreign Economics, and skills in web & mobile UI/UX design*

**Professional Summary:**

Accomplished B2B international communication and sales specialist with 4 years of experience in account and sales management. Demonstrated expertise in business communication, public speaking, and team building. Strong communicational, management, and problem-solving skills with a proven track record in developing and implementing sales strategies to achieve business goals. Proficient in web & mobile UI/UX design, prototyping, and Agile methodologies.

**Skills:**

* Business Communication
* Account and Sales Management
* Public Speaking
* Team Building
* Web & Mobile UI/UX Design
* Prototyping
* Agile Methodologies
* Business Analytics

**Tools:**

* CRM
* Google Docs
* Figma
* Axure RP
* Coggle
* Adobe Photoshop (Ps)
* Canva
* Trello
* Slack

**Education:**

*Master's Degree in Foreign Economics*

**Experience:**

* 4 years of B2B international communication and sales experience
* Successfully managed accounts and built relationships with clients
* Developed and implemented sales strategies to achieve business goals
* Completed courses in Business Analytics and Web & Mobile UI/UX Design
* Proficient in web & mobile UI/UX design, prototyping, and familiarity with Agile methodologies in Software Development Life Cycle (SDLC)

**Interests:**

* Business solutions finding
* Web & mobile UI/UX decisions
* Prototyping
* Cross-cultural communication

**Preferred Location:**

Open to opportunities, not critical.

**Objective:**

To join a team of creative and determined professionals and grow together while working on exciting and challenging tasks. Seeking a role in account or junior PM job opportunity in development/design field to utilize and further develop skills and qualities."
2555," * 5 years of experience in sales and customer support within the Chemical raw materials distribution and EdTech industries.
* Proven leadership skills as a promoted Team Lead in Customer Support and Account Management.
* 1 year of experience in EdTech Project Management, with a focus on lead generation, outbound sales, and support in the Western Market.
* Proficient in multiple CRM systems including IBS, SAP, Zoho, Kommo, and Jira.
* Basic understanding of programming concepts (Java).
* Consistently demonstrated income stability and growth in fast-paced and dynamic environments."
2556,"Account Manager

* Communicated with clients through emails, cold and hot calling, and participated in demos
* Tested and demonstrated application, creating and updating company profiles
* Assisted clients with questions and inquiries regarding the application, enhancing product interest and usage
* Created website content, including blogs and tutorials

Sales Support Agent

* Conducted market investigation and research for Ukrainian and Russian markets
* Assisted British company in expanding to Eastern European market through B2B sales and communication with business owners and representatives
* Completed necessary reports

Customer Support Agent

* Resolved thousands of customer service issues via email and telephone communication with customers from USA, Canada, and Great Britain
* Provided solutions to customer service issues, adjusted customer profiles and subscriptions, processed refunds as necessary
* Ensured customer satisfaction through follow-up communication
* Utilized CRM system for quality assurance, including analyzing calls, correcting system errors, and calling customers back to ensure satisfaction
* Completed necessary reports."
2577," Project Coordinator, Upwork Premium Services team

* Contrasted and analyzed team's service efficiency through reporting
* Provided administrative support for program
* Managed and maintained Salesforce lead data
* Monitored and reported on team activity related to overdue tasks/tickets
* Handled high-value escalations from internal teams
* Revised and improved current processes

---

Online Store Project Manager (remote)

* Managed backend admin panel
* Oversaw hosting infrastructure, including dedicated servers and providing 1st line support
* Managed dispatch and resolved support tickets
* Optimized workflow, delivering high-quality customer service, handling time-sensitive tasks, and focusing on results

---

Talent Agent Admin & Talent Specialist

* Sourced high-caliber talent for Upwork internal teams and clients
* Conducted video interviews with Upwork Freelancers from Americas, Europe, and Asia
* Created and managed Jira tickets
* Improved operations efficiency and quality
* Developed and updated SOP documentation

---

Magento E-Commerce Project Manager

* Assigned tasks to dev team, focusing on UI optimization
* Collaborated with SEO and marketing teams
* Conducted performance review meetings
* Established relationships with manufacturers/suppliers worldwide and set them up as vendors
* Managed stock, configured payment, shipping methods, and shipping rates in Magento
* Oversaw orders, dispatch, and refunds
* Handled customer inquiries and resolved complaints
* Managed large projects with well-structured teams, standardized operational procedures, and room for improvement, which could be either outsourcing or product projects.

---

Experiences:

* Workflow optimization and standard process improvement
* Successfully managed and completed team tasks, ensuring high-quality customer service
* Salesforce lead/record database management and administration
* E-commerce business management (simultaneously running and administrating two businesses)."
2582," PhD in Economics

Experience:

* Assistant Professor, XYZ University (2018-2021)
	+ Taught various undergraduate and graduate courses in Economics, including Microeconomic Theory, Macroeconomic Theory, and Econometrics
	+ Published multiple research papers in top-tier Economics journals, such as American Economic Review and Journal of Political Economy
"
2583," Experienced Account and Digital Marketing Professional with over 4 years of B2B/B2C experience in AdTech and Crypto products.

**Sendios.io - Account Manager**

* Rebuilt and optimized account flow for managing clients' tasks, improving team efficiency

**Coreteka - Product Manager**

* Launched updated company website, overseeing development and deployment

**BitMedia - Sales and Account Manager**

* Increased advertiser cost across network by 20% through effective management
* Implemented Pipedrive CRM system to streamline sales process

**MGID - User Acquisition Manager**

* Outperformed colleagues by closing 2 times more clients for 3 consecutive months
* Led team education through presentations and training sessions

Skilled in E-mail marketing, Communications, and Digital Marketing Project Management.
Motivated by fast-paced environments, strong teams, and challenging tasks.
Seeking to advance in User Retention and Product Development as a Project Manager or Retention Manager."
2584," Managed 56 projects concurrently, achieving a consistent record of success.
Proficient in project management tools including Teamwork, Asana, and Notion.
Completed 143 projects, with a total budget of $310,000.
Designed and executed training on negotiation techniques and troubleshooting for company personnel.
Mentored and developed a Junior Project Manager to a middle level.
Experienced Lead Account Executive with a strong business acumen.
Expert in establishing and maintaining strategic partnerships and collaborations.
Implemented techniques for customer acquisition and retention.
Conducted market research and analysis to create comprehensive business plans.
Experienced Middle Project Manager, leading and coordinating teams of 10-15 members.
Directed strategic goals and tactical decisions through weekly cross-functional meetings."
2585,"[Your Name]

International Business Development Professional

Contact Information:
[Include your contact information here]

Education:

* Master's Degree in [Your Field], [University Name], Germany
	+ Grade: ""Very Good""
	+ Multilingual Certification: German/English

Experience:

* Head of Business Development, [Company Name]
	+ Managed a team of sales and account managers, driving a 50% increase in revenue growth in the respective market
	+ Successfully oversaw a large integration project with a top European ECM software supplier
* Project Manager, Marketing and Sales Professional, [Company Name]
	+ Demonstrated success in managing highly successful projects and increasing revenue growth in competitive markets
	+ Business process expertise in Marketing, Sales, and IT
	+ Proficient in Agile/Scrum environment and international teams
* [Add any additional relevant experience here]

Skills:

* Technical background with a natural curiosity for new information technologies
* Continuous learning in Online-Marketing, Scrum, Agile Project Management, Lean Project Management, etc.
* Proven ability to manage teams and increase revenue growth
* Expertise in integration projects and international business
* Proficient in Agile/Scrum environment and international teams
* Multilingual with certification in German and English

Values:

* Seeking a company with a strong reputation
* Strive for job progression and advancement within the company
* Value working with competent, friendly team players
* Opportunities for professional travel and development."
2586," Account Project Manager
Media Agency Vizeum (Dentsu)
- Orchestrated and facilitated interaction between the Agency and the Client in the development, approval, and implementation of projects/products
- Fostered daily communication and client service for local and global client and customer teams
- Managed complex clients in various media, including planning media strategy across all media types: TV, TV Sp-p, OOH, Radio, Digital

Senior Account Manager
Marketing Services Agency Adsapience
- Managed accounts, developed brand/product promotion concepts, built operational process structures, provided daily customer support, and processed customer requests
- Coordinated web developers team for web-sites & App development and supervised Nationalteleconferences
- Oversaw operations management, involving continuous communication with 4-5 other teams (product development, creative, digital, production, legal, logistics, etc.) and managing procedural processes
- Led mass BTL, B2B, B2C events, partner integrations, and coordinated a team of more than 20+ people, including training and quality control of middle managers
- Supported customers by coordinating the implementation of services, handling problems, and providing better solutions

Account Manager
Marketing Agency TMA Ukraine
- Developed and integrated marketing promotion for a shopping and entertainment center (Kyiv) with 318 projects and an attendance of up to 55,000 people a day
- Coordinated various types of trade-marketing projects, managing all processes from start to finish

[Total: 7 years of experience in client service and project management]"
2587,"Account and Project Management Professional

• Dutch SAAS company, specializing in supply chain mapping software for the European market with global supply management.

Software Proficiency

• In-house software, Teamleader, MS Office, Tableau.

Responsibilities

• Advise international clients on software solutions and relevant market developments.
• Develop comprehensive budgets, manage ongoing projects, and ensure timely completion within scope.
• Oversee and direct IT team, serving as primary contact for client queries and issues, fostering effective communication and problem-solving.
• Actively maintain client satisfaction by promptly addressing concerns, providing professional support, and building strong relationships through regular touchpoints."
2588," **Account Manager**
ProfiAds (Advertising & Event Agency), June 2"
2589,"Results-oriented Account/Project Manager

• 5+ years of experience in product and outsource companies
• Managed and delivered 19 commercially launched projects
• Facilitated Scrum events in multiple teams

Results-driven and organized professional with 5+ years of experience in product and outsource companies. Proven ability to manage multiple projects simultaneously, with a focus on successful delivery and personal growth. Strong written, oral, and interpersonal communication skills, with the ability to work under pressure.

Responsibilities:

• Facilitated Scrum events for multiple teams
• Planned and managed internal and external project communications
• Controlled staffing process, including hiring and onboarding
• Managed project, financial, and invoicing documentation and processes
• Managed internal delivery teams to ensure successful delivery
• Estimated requests for software implementation (goals, cost, scope of work, efficiency)
• Planned software development process, controlled execution of software development plans
• Managed people, building effective and collaborative project teams, promoting individual and team performance

Seeking a company with a strong team spirit, providing opportunities to continue increasing experience and skills."
2590,"Accomplished Sales Account Manager

Over 4 years of experience building and maintaining long-term customer relationships

Responsibilities:
• Process verified leads and negotiate deals
• Understand customer needs and provide effective solutions
• Gather project requirements and provide project quotes
• Run accounts upon project start and issue invoices
• Moderate business meetings with prospects/customers and team

Expertise:
• Strong customer communication skills
• Bridging gaps between customers and development teams
• Ensuring well-established business processes
• Providing guidance during initial stages

Seeking to further develop in Account/Project Management."
2591," Experienced Account/Project Manager

Proficient in:

* Communication: Developed and maintained strong relationships with team members and clients through effective communication and active listening.
* Contracts & Agreements: Drafted and negotiated contracts and agreements proficiently.
* Budgeting: Gained experience in preparing and managing client budgets.
* Quality Assurance: Experienced in testing websites and ensuring high-quality results.

Key Qualities:

* Strong task prioritization and efficient execution.
* Demonstrated ability to manage multiple projects simultaneously.
* Consistently delivered accurate and responsible work.
* Proactive in evaluating results, analyzing difficulties, and implementing solutions to prevent future occurrences.

Work Experience:

* Account/Project Manager, [Company Name], [Location], [Dates] (1.5 years)
	+ Responsible for managing client accounts and overseeing projects.
	+ Developed and maintained strong relationships with team members and clients.
	+ Drafted and negotiated contracts and agreements.
	+ Prepared and managed client budgets.
	+ Conducted quality assurance testing to ensure high-quality results.

Commitment:

* Dedicated and determined with a focus on work quality."
2592,"**[Your Name]**

**Contact Information**

**Summary:**

Enthusiastic professional with a proven track record in project and account management, sales, and marketing. Known for contagious positivity, sincere passion towards people's development, and effective communication with individuals at various organizational levels.

**Experience:**

*Key Account Manager, Glovo*

- Successfully sold in-app instruments and promotional campaigns to partners, increasing monthly GMV and CPO by 4,000 euros
- Developed and managed partner relationships for entire portfolio
- Owned strategic partner relationships end-to-end, managing deep product integrations, co-marketing efforts, and operational excellence
- Executed day-to-day campaign management, optimization, and analysis across multiple clients
- Monitored partner's business performance, analyzed key KPIs, and ensured growth MoM
- Analyzed partner feedback and translated it into product, marketing, and operations improvements
- Served as primary POC between Glovo's departments and partners

*Project Coordinator/Founder*

- Assisted students in learning business fundamentals and provided opportunities for university admission with discounts
- Managed inbound and outbound leads
- Conducted training for regional coordinators
- Mentored teams for project participation
- Led technical and administrative teams of 60 people
- Worked with team vision and scope

*Key Customer Manager, Dubai*

- Promoted products and increased sales
- Designed and implemented strategic sales plans
- Built and maintained long-lasting customer relationships
- Negotiated contracts and closed agreements with new leads
- Onboarded new customers (first meetings, training)
- Created vendor showcases on website backend panel

*Assets Sales Manager*

- Sold assets worth over 20,000$ in 3 months
- Ensured updated product and sales materials for presentations, conferences, or opportunities
- Prepared franchise for sale
- Conducted financial reporting

**Skills:**

- Project management
- Account management
- Sales and marketing
- Team management
- Financial reporting
- Strategic planning
- Relationship building
- Negotiation
- Training and development."
2594,"Event Sales Manager & Account Manager

• Successfully sold and executed over 300 events as an Event Sales Manager, consistently achieving upsells up to 2x
• Built and maintained a portfolio of accounts as an Account Manager, prioritizing relationship-building and client satisfaction
• Surpassed sales targets and drove revenue growth through strategic selling and negotiation techniques
• Collaborated with internal teams, including catering, audio-visual, and logistics, to ensure seamless event planning and execution
• Showcased strong communication and presentation abilities, delivering persuasive proposals and presentations to clients
• Utilized sales and event management software to monitor progress, manage timelines, and ensure successful event delivery
• Stayed current with industry trends, best practices, and emerging technologies to maintain a competitive edge and deliver exceptional service to clients."
