id,GPT4o
0,"           --- ObjectiveAspiring designer seeking remote opportunity to grow and develop, while contributing to the creation of products that meet customer expectations. Open to positions in companies that offer mentoring.--- Professional SummaryMotivated and detail-oriented designer with hands-on experience in both individual and team projects. Demonstrated leadership skills and the ability to generate innovative ideas. Proficient in performing competitor analysis, developing personas, and creating user-friendly interfaces.--- ProjectsFlowers Delivery Mobile App- Developed a user-friendly and intuitive interface for an online flower ordering service.- Conducted persona research to better understand customer demand.- Created a comfortable and easy-to-use app enabling customers to order a bouquet from anywhere in the world.Pet Scout - Animal Pet Search Web Service- Conducted UX research, including competitor analysis and user flow.- Worked on the architecture of the web service.- Applied design principles to create a compelling user experience.- Created wireframes, mockups, prototypes, and showcased work on Behance as part of a team.Barbershop Landing Page- Designed a landing page to inform visitors about barbershop services and facilitate appointments with chosen barbers.- Performed competitor analysis and developed personas using various research methods.- Developed desktop, tablet, and mobile versions of the site.Tattoo Studio Website Redesign- Redesigned a tattoo salon website to enable visitors to choose tattoo or piercing artists, view portfolios, and easily sign up for consultations.- Conducted competitor analysis based on demographics and statistical data.- Created a visually pleasing and intuitive website.--- Skills- UX Research- Interface Design- Competitor Analysis- Persona Development- Wireframing & Prototyping- Responsive Design (Desktop, Tablet, Mobile)--- EducationSuccessfully completed comprehensive training in design, acquiring both technical knowledge and theoretical understanding.--- Career GoalsSeeking remote opportunities in a dynamic company or as a freelancer. Committed to continuous growth and development as a designer, ideally in an environment with mentoring support."
1,"--- SummaryUI/UX Designer with extensive expertise in transforming concepts into real solutions for both web and mobile applications. Adept in creating visually appealing designs that also solve challenges and optimize the daily goals of the target audience. Skilled in aesthetics and problem-solving to enhance user interface and user experience.--- Skills- Design Tools: Figma, Illustrator, ProtoPie, Photoshop- Design Techniques: Low and high fidelity prototypes, Vector illustration, Components, Adaptive design- Specializations: Logo creation, Landing page design, Improvement of user interface and user experience--- Professional Experience Website Redesign for Destin Tattoo Company- Project: Redesign of ""Destin Tattoo Company"" website- Responsibilities:  - Conducted competitor analysis  - Developed prototypes and wireframes  - Selected text and colors  - Created logo  - Adapted components for tablet and mobile Web Service Project: The Lost Pets- Project: ""The Lost Pets"" (team-based initiative)- Responsibilities:  - Designed user flow for people finding or picking up animals  - Created an individual logo for the service Mobile App: Suit Store- Project: ""Suit Store""- Responsibilities:  - Created a convenient user flow for frequent shoppers  - Managed the project from prototyping to final stage independently after the initial teamwork--- Career ObjectiveSeeking a full-time position in a creative and friendly team where I can find solutions to challenging problems, improve user interfaces, and have opportunities for creative promotion on design tasks."
2,"          --- Professional SummaryExperienced UX/UI Designer with a strong background in leading projects and developing user-centric designs for various platforms. Proven expertise in creating seamless, efficient, and visually appealing digital experiences. Eager to join a dynamic team focused on innovative and engaging projects.--- Experience Team Leader – BudgetStay Project- Led a team of designers in developing a web service interface for BudgetStay, aimed at finding free or affordable accommodation.- Designed the main user flow with 2 account types (free and premium) and 3 types of hosts.- Created designs and prototypes for desktop, tablet, and mobile versions. Team Leader – Sensual Temple Project- Managed the development of a landing page for the ""Tantric Massage Salon Sensual.""- Created an appealing and informative online presence to attract potential clients.- Designed responsive layouts for desktop, tablet, and mobile. Independent UX/UI Designer – India Cafe- Redesign of the website for an Indian restaurant based in Pennsylvania, USA.- Enhanced user experience by adding missing pages with photos and a menu.- Implemented a feature for making reservations.- Designed responsive layouts and prototypes for desktop, tablet, and mobile. Independent UX/UI Designer – Citroen 4- Developed a concept for the landing page in Ukraine focused on test drive bookings.- Designed an engaging and modern layout for desktop. Pet Projects- FoodieFinder: Designed a mobile app for restaurant search and table reservations, facilitating a hassle-free user experience.- Sensual Temple: Created a landing page for a tantric massage salon, promoting services and attracting clients through an appealing online presence.--- Skills- UX/UI Design- Prototyping and Wireframing- Responsive Design- Project Management- Team Leadership- User Research and Flow Design--- ObjectiveSeeking a position as a UX/UI Designer in a forward-thinking team where I can contribute to creating innovative projects that enhance client and user interactions. Eager to implement dynamic solutions and continuously improve my skills.---Education---Certifications---Technical Proficiencies---Portfolio---ReferencesAvailable upon request."
3," Professional SummaryGraphic design specialist with significant experience in both teaching and practical project implementation. Proficient in various design software and adept at managing full design cycles. Seeking a collaborative and motivated team environment where I can contribute and grow. Key Skills- Adobe Photoshop- Adobe Illustrator- Corel Draw- ProtoPie- Figma- Canva- Raster and Vector Graphics- 3D Modeling- Programming Languages Professional Experience Computer Science Teacher,  - Conducted lessons on raster and vector graphics, 3D modeling, and programming languages.- Utilized software such as Figma, Adobe Photoshop, Adobe Illustrator, Canva, and ProtoPie in classroom settings.- Dedicated to continuously learning and applying new technologies. Notable Projects Veterinary Clinic ""Aibolit"" Website Redesign- Oversaw the full design cycle, including problem analysis, prototyping, and the creation of a visual style.- Developed a modern and user-friendly design that aimed to attract potential customers. ""Coffee Time"" Mobile Application- Managed the project from problem analysis through to final design.- Created a mobile application to facilitate scanning and payment for goods, enhancing customer convenience and reducing checkout times. Additional Contributions- Developed various design materials such as moodboards, landing pages, and user personas.- Conducted user research and improved user flow for multiple projects. Education- - , -  ObjectiveSeeking a friendly, motivated team where I can be of use, continue to develop my skills, and achieve shared goals."
4,"NameContact Information      --- EducationH.S. Skovoroda Kharkiv National Pedagogical University  Faculty of Art and Graphics  Ad DesignerSource IT  HTML Layout (Feb 2015 - Apr 2015)CURSOR Education  UI/UX Designer (Feb 2021 - Jul 2021)Mobios School  UX/UI Web-design + Mobile Design (Sep 2021 - Dec 2021)--- Professional ExperienceFreelance Layout Designer  Various Publishing Houses (Over 10 years)  - Developed layouts for books, magazines, and posters.- Designed pages; searched for and processed vector illustrations; drew illustrations when necessary.- Searched for bitmap images and processed them.- Compiled collages.- Conducted layout of books and magazines.- Prepared products for printing.--- Skills- HTML Layout- UI/UX Design- Graphic Design- Page Design- Vector Illustration- Bitmap Image Processing- Collage Compilation- Product Preparation for Printing- Communication- UX Research- Wireframing- UI and Web Design- Mobile App Design--- ProjectsUI/UX Design Course Projects  - Conducted interviews with clients.- Performed competitor and SWOT analyses.- Created UX Personas and Customer Journey Maps (CJM).- Developed information architecture, wireframes, and designs.--- ObjectiveSeeking to join a dynamic and collaborative team that values learning and growth, where I can make meaningful contributions and receive valuable feedback."
5,"          ---Objective:  As a dedicated and detail-oriented UI/UX Designer with six months of freelance experience, I am eager to join a dynamic team to leverage my skills in user research, design, and prototyping to create impactful and user-friendly design solutions.---Education:  UI/UX Design Courses  - Comprehensive training in design principles, user research methodologies, wireframing, prototyping, and interaction design.- Recognized for attention to detail, creativity, and integrating user feedback into design iterations.---Freelance UI/UX Designer  Duration: Six Months- Developed and created unique user interfaces for various clients.- Analyzed client requirements, conducted user research, created information architecture, and tested user experience.- Created prototypes and participated in iterative processes with developers to ensure high-quality end products.- Enhanced clients’ user experience and improved conversion rates through distinctive and appealing designs.---Key Achievements:  - Successful Completion of UI/UX Design Courses: Gained a solid foundation in design principles and methodologies through comprehensive courses.- Project Contributions: Actively participated in design projects, collaborating with designers, developers, and stakeholders to deliver engaging user experiences.- Positive Feedback: Received commendations for creativity, attention to detail, and ability to incorporate user feedback.- Continuous Learning: Pursued self-study, attended webinars, and engaged with design communities to stay current with industry trends and new tools.---Core Competencies:  - User Research  - Wireframing & Prototyping  - Interaction Design  - Information Architecture  - User Experience Testing  - Design Principles  - Client Communication  - Project Management---Professional Aspirations:  1. User-Centric Approach: Committed to understanding and prioritizing user needs to deliver positive user experiences.2. Professional Growth: Eager to join a company that offers development and advancement opportunities, staying current with trends through training and events.3. Collaboration & Communication: Excel at team collaboration, ensuring productive relationships and clear communication with stakeholders to deliver high-quality designs.---References Available Upon Request"
6,"Contact Information:- Email: - Phone: - LinkedIn: - Portfolio: ---Summary:Dedicated and proactive Ui/Ux designer with 11 months of continuous development and hands-on experience in redesigning websites and creating engaging digital experiences. Adept in using tools like Figma, Photoshop, Illustrator, Webflow, and After Effects. Committed to delivering unique and creative solutions, with a strong foundation in UX research and design principles.---Key Skills:- Figma: Mastery in components, variants, auto layout, and constraints- Adobe Photoshop- Adobe Illustrator- Webflow- After Effects- UX Research---Professional Experience:Ui/Ux DesignerSelf-employed |  - Present- Redesigned a roofing materials plant site, transforming it from an outdated and non-functional multi-page site into a modern, convenient landing page with a compelling structure.- Developed a landing page for a tea studio, focusing on creating an attention-grabbing, stylized site that provided both necessary information and aesthetic and cultural satisfaction for potential clients.- Created an online store for board games incorporating AI elements to enhance user experience.- Improved the Ukrainian cinema network Multiplex application by conducting detailed UX research and proposing solutions to address the main user inconveniences.---Education:- - ---Personal Attributes:- Continuous learner, always striving for self-improvement and staying updated with the latest design trends.- Strong problem-solving skills with a focus on functionality and user satisfaction.- Ukrainian heritage that brings a unique, original, and creative style to each project.---Languages:- English- Ukrainian---References:Available upon request."
7,"          --- SummaryI am a multi-talented designer with a strong understanding of front-end development, possessing skills in HTML5, CSS3 (responsive and adaptive design), SASS/LESS, and working with flexbox. I am also proficient in GIT, and have basic knowledge of JavaScript and React.js. Additionally, I have experience in UI/UX design, having learned Figma recently and passionate about exploring it further. My background in various Adobe programs like Photoshop, Illustrator, InDesign, and Procreate complements my technical skills, allowing me to bridge the gap between design and development effectively.--- Technical Skills- Frontend Development: HTML5, CSS3 (responsive and adaptive design), SASS/LESS, Flexbox, GIT, JavaScript (basic knowledge), React.js (component creation and preparation), Bootstrap.- Design Tools: Adobe Photoshop, Adobe Illustrator, Adobe InDesign, Procreate, Figma.--- Professional Experience Freelance Illustrator and Designer    - Created commissioned illustrations and portraits, developing strong client interaction and prioritization skills.- Worked remotely to create 2D characters for training videos, enhancing my ability to deliver projects efficiently and effectively.--- Career ObjectivesI am eager to develop my skills in UI/UX design, combining my passion for art and design with my front-end development abilities. Having learned Figma quickly, I am committed to deepening my expertise and contributing meaningfully to projects that require both design and technical skills.--- Additional Skills- Strong understanding of how developers think, bridging the gap between design and development.- Ability to prioritize tasks and manage client projects efficiently.- Constantly seeking to improve professional skills and stay up-to-date with industry trends.--- Education--- Contact      "
8,"            --- Professional SummaryProject and Product Manager with four years of experience in managing multiple projects simultaneously, including web and mobile application development. Skilled in all stages of development and keen to contribute to projects that foster both personal and professional growth. --- Experience Freelance — UI/UX Designer   – Present  - Designed landing pages and e-commerce websites.- Prototyped and laid out sites using Tilda.- Created logos and corporate identity, visiting cards, and advertising banners.Netpeak Group — UI/UX Designer   –   - Designed blogs and review websites on various topics.- Developed landing pages using Tilda.- Created logos.Netpeak Group — Project/Product Manager   –   - Managed teams for mobile app and website development.- Conducted manual testing of products.- Managed workflow including tasks from technical specifications, prototyping, design, development, to testing and production.- Established and maintained communication channels among project stakeholders.- Organized retrospectives, backlog grooming, and planning poker sessions for project time estimates.- Created prototypes and worked with analytics tools such as Google Analytics and AppsFlyer.- Analyzed competitors using tools like App Annie, Alexa, and Sensor Tower.--- Education and Certifications- Projector School    - Completed four design courses.--- Skills- Project Management- Product Management- UI/UX Design- Prototyping- Manual Testing- Workflow Management- Communication Channels Establishment- Retrospectives & Backlog Grooming- Google Analytics, AppsFlyer- Competitor Analysis (App Annie, Alexa, Sensor Tower)- Design Tools (Tilda, Prototyping Software)- Logo and Corporate Identity Creation--- Career Goals- Engage in interesting and challenging projects- Professional growth in a supportive and well-structured environment- Contribute to a company with a clear mission and goals that prioritizes development for both employees and society--- ObjectiveAspiring to improve design skills in a forward-thinking company that values growth, excellence, and societal contributions through its products and work culture."
9,"Kara MondExperienceGraphic/Motion DesignerFreelance | February 2022 - Present- Design and animate motion graphics for social media using Adobe After Effects and other software tools.- Stay up-to-date on the latest design and animation trends and techniques.- Continuously improve skills and knowledge through online courses and workshops.- All the artworks can be found on Instagram page: @Kara_mondEvent ManagerDKG | November 2021 - January 2022- Implemented new ways of event promotion.- Developed event feedback surveys and post-event reports.- Organized email campaigns and created scripts for them.- Coordinated internal resources to ensure successful project completion.Social Media ManagerFreelance | October 2020 - 2022- Designed and implemented social media strategy across six Instagram/Facebook company brands.- Scheduled, created, and written content, video, and images that increased brand awareness with 12+ posts and 35+ stories across platforms each week for F&B, Beauty, and Automotive industries.- Executed social media presence across Instagram and Facebook.- Reported social media KPIs for each channel, including engagement and followers.- Learned Photoshop/After Effects to create custom banners and other images for campaigns.Conference Project ManagerBCF | May 2019 - August 2021- Managed full cycle of event management including developing event programs, schedules, and concepts.- Managed in-house and remote team of five.- Led up to six projects simultaneously.- Organized 25+ conferences for Automotive, Medical Device, Pharmaceutical, and Consumer Goods industries.- Conducted feedback analysis for strategic development of future events.PR Manager (Internal Communications)KazTransOil | December 2015 - August 2017- Created articles and press releases.- Managed communication with mass media.- Managed charity events on behalf of the company.- Created weekly and daily news for internal stakeholders.Education & Skills- From June 2022, learning UX-UI web design.- Proficient in Adobe After Effects, Photoshop, and other design and animation software tools."
